,user_id,platform,os,browser,image,threshold
26775,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",445.jpg,60
26776,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1286.jpg,60
26777,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1999.jpg,60
26778,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",2192.jpg,60
26779,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",530.jpg,60
26780,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1372.jpg,60
26781,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",933.jpg,60
26782,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",449.jpg,60
26783,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",380.jpg,60
26784,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",916.jpg,60
26785,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",424.jpg,60
26786,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",101.jpg,60
26787,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",925.jpg,60
26788,u71,tablet,5.0 (iPad; CPU OS 6_1 like Mac OS X) AppleWebKit,"536.26 (KHTML, like Gecko) CriOS",1510.jpg,60
